control_id,title,page,chapter,profile_scope,level,automated,status_impl,status_tested,status_validated,notes
2.3.2.1,Ensure systemd-timesyncd configured with authorized timeserver (Automated),330,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.3.2.2,Ensure systemd-timesyncd is enabled and running (Automated),334,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.3.3.1,Ensure chrony is configured with authorized timeserver (Automated),337,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.3.3.2,Ensure chrony is running as user _chrony (Automated),341,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.3.3.3,Ensure chrony is enabled and running (Automated),343,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.4.1.1,Ensure cron daemon is enabled and active (Automated),347,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.4.1.2,Ensure access to /etc/crontab is configured (Automated),348,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.4.1.3,Ensure access to /etc/cron.hourly is configured (Automated),350,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.4.1.4,Ensure access to /etc/cron.daily is configured (Automated),352,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.4.1.5,Ensure access to /etc/cron.weekly is configured (Automated),354,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.4.1.6,Ensure access to /etc/cron.monthly is configured (Automated),356,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.4.1.7,Ensure access to /etc/cron.yearly is configured (Automated),358,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.4.1.8,Ensure access to /etc/cron.d is configured (Automated),359,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.4.1.9,Ensure access to crontab is configured (Automated),361,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.4.2.1,Ensure access to at is configured (Automated),366,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.1.1,Ensure IPv6 status is identified (Manual),371,3,Server:Level 1;Workstation:Level 1,Level 1,Manual,OK,OK,,
3.1.2,Ensure wireless interfaces are not available (Automated),374,3,Server:Level 1,Level 1,Automated,OK,OK,,
3.1.3,Ensure bluetooth services are not in use (Automated),377,3,Server:Level 1;Workstation:Level 2,Level 1,Automated,OK,OK,,
3.2.1,Ensure atm kernel module is not available (Automated),381,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.2.2,Ensure can kernel module is not available (Automated),384,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.2.3,Ensure dccp kernel module is not available (Automated),387,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.2.4,Ensure rds kernel module is not available (Automated),390,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.2.5,Ensure sctp kernel module is not available (Automated),393,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
