"ControlId","Title","Status","ExpectedValue","ActualValue","Notes","Hostname","Timestamp"
"18.9.20.1.7","Ensure 'Turn off Registration if URL connection is referring to Microsoft.com' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.4948553-07:00"
"18.9.20.1.8","Ensure 'Turn off Search Companion content file updates' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.4995766-07:00"
"18.9.20.1.9","Ensure 'Turn off the ''Order Prints'' picture task' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.5026264-07:00"
"18.9.20.1.10","Ensure 'Turn off the ''Publish to Web'' task for files and folders' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.5068036-07:00"
"18.9.20.1.11","Ensure 'Turn off the Windows Messenger Customer Experience Improvement Program' is set to 'Enabled'","Fail","2 (Enabled)","","","DC01","2026-07-14T10:54:35.5147041-07:00"
"18.9.20.1.12","Ensure 'Turn off Windows Customer Experience Improvement Program' is set to 'Enabled'","Fail","0 (apagado)","","","DC01","2026-07-14T10:54:35.5218556-07:00"
"18.9.20.1.13","Ensure 'Turn off Windows Error Reporting' is set to 'Enabled'","Fail","1 (Enabled = WER apagado)","","","DC01","2026-07-14T10:54:35.5288541-07:00"
"18.9.23.1","Ensure 'Support device authentication using certificate' is set to 'Enabled: Automatic'","ManualReviewRequired","","","No se identifico con certeza la clave de registro para este control. Verificar manualmente antes de automatizar.","DC01","2026-07-14T10:54:35.5302325-07:00"
"18.9.24.1","Ensure 'Enumeration policy for external devices incompatible with Kernel DMA Protection' is set to 'Enabled: Block All'","Fail","0 (Block All)","","","DC01","2026-07-14T10:54:35.5351574-07:00"
"18.9.26.1","Ensure 'Configure password backup directory' is set to 'Enabled: Active Directory' or 'Enabled: Azure Active Directory'","Fail","1 (AD) o 2 (Azure AD)","","","DC01","2026-07-14T10:54:35.5488634-07:00"
"18.9.26.2","Ensure 'Do not allow password expiration time longer than required by policy' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.5603704-07:00"
"18.9.26.3","Ensure 'Enable password encryption' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.5723755-07:00"
"18.9.26.4","Ensure 'Password Settings: Password Complexity' is set to 'Enabled: Large letters + small letters + numbers + special characters' or 'Passphrase'","Fail",">= 4","","","DC01","2026-07-14T10:54:35.5848122-07:00"
"18.9.26.5","Ensure 'Password Settings: Password Length' is set to 'Enabled: 15 or more'","Fail",">= 15","","","DC01","2026-07-14T10:54:35.6008895-07:00"
"18.9.26.6","Ensure 'Password Settings: Password Age (Days)' is set to 'Enabled: 30 or fewer'","Fail","1-30","","","DC01","2026-07-14T10:54:35.6169127-07:00"
"18.9.26.7","Ensure 'Post-authentication actions: Grace period (hours)' is set to 'Enabled: 8 or fewer hours, but not 0'","Fail","1-8","","","DC01","2026-07-14T10:54:35.6297716-07:00"
"18.9.26.8","Ensure 'Post-authentication actions: Actions' is set to 'Enabled: Reset the password and logoff the managed account' or higher","Fail",">= 3","","","DC01","2026-07-14T10:54:35.6422928-07:00"
"18.9.27.1","Ensure 'Allow Custom SSPs and APs to be loaded into LSASS' is set to 'Disabled' (DC only)","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:35.7000854-07:00"
"18.9.27.2","Ensure 'Configures LSASS to run as a protected process' is set to 'Enabled: Enabled with UEFI Lock'","Fail","2 (Enabled with UEFI Lock)","","","DC01","2026-07-14T10:54:35.7034650-07:00"
"18.9.28.1","Ensure 'Disallow copying of user input methods to the system account for sign-in' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.7111647-07:00"
"18.9.29.1","Ensure 'Block user from showing account details on sign-in' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.7141494-07:00"
"18.9.29.2","Ensure 'Do not display network selection UI' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.7181603-07:00"
"18.9.29.3","Ensure 'Do not enumerate connected users on domain-joined computers' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.7207954-07:00"
"18.9.29.4","Ensure 'Enumerate local users on domain-joined computers' is set to 'Disabled' (MS only)","NotApplicable","","","Control marcado (MS only) en el benchmark; este equipo no es MS.","DC01","2026-07-14T10:54:35.7685888-07:00"
"18.9.29.5","Ensure 'Turn off app notifications on the lock screen' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.7717041-07:00"
